year,country,arrivals,departures
2015,Germany,34970000,83737000
2015,Denmark,10424000,8991000
2015,Spain,68215000,14407000
2015,Estonia,2989000,1250000
2015,Finland,2622000,8904000
2015,France,84452000,26648000
2015,United Kingdom,34436000,65720000
2015,Georgia,5901000,3135000
2015,Greece,23599000,6291000
2015,Croatia,12683000,2578000
2015,Hungary,4929000,17276000
2015,Ireland,9528000,7094000
2015,Iceland,1289000,450000
2015,Israel,2799000,5891000
2015,Italy,50732000,29040000
2015,Lithuania,2071000,1860000
2015,Luxembourg,1090000,1702000
2015,Latvia,2024000,1720000
2015,Moldova,94400,185700
2015,Malta,1783000,428000
2015,Netherlands,15007000,18070000
2015,Norway,5361000,
2015,Poland,16722000,44300000
2015,Portugal,9957000,
2015,Romania,9331000,13118000
2015,Slovak Republic,1721000,2777000
2015,Slovenia,2707000,2867000
2015,Sweden,6482000,
2015,Turkey,39478000,8751000
2015,Ukraine,12428000,23142000
